name,SRR25723241,SRR25723220,SRR25723265,SRR25723238,SRR25723197,SRR25723194,SRR25723246,SRR25723203,SRR25723221,SRR25723290,SRR25723211,SRR25723187,SRR25723284,SRR25723286,SRR25723228,SRR25723210,SRR25723183,SRR25723291,SRR25723219,SRR25723208,SRR25723193,SRR25723256,SRR25723293,SRR25723242,SRR25723272,SRR25723257,SRR25723222,SRR25723239,SRR25723273,SRR25723244,SRR25723236,SRR25723269,SRR25723266,SRR25723223,SRR25723259,SRR25723251,SRR25723277,SRR25723233,SRR25723263,SRR25723245,SRR25723202,SRR25723234,SRR25723225,SRR25723198,SRR25723190,SRR25723189,SRR25723288,SRR25723224,SRR25723216,SRR25723240,SRR25723204,SRR25723205,SRR25723274,SRR25723258,SRR25723209,SRR25723230,SRR25723268,SRR25723255,SRR25723289,SRR25723191,SRR25723199,SRR25723201,SRR25723248,SRR25723282,SRR25723186,SRR25723237,SRR25723292,SRR25723279,SRR25723247,SRR25723226,SRR25723243,SRR25723218,SRR25723264,SRR25723287,SRR25723276,SRR25723200,SRR25723267,SRR25723283,SRR25723285,SRR25723215,SRR25723227,SRR25723188,SRR25723217,SRR25723250,SRR25723254,SRR25723195,SRR25723185,SRR25723192,SRR25723249,SRR25723270,SRR25723260,SRR25723253,SRR25723262,SRR25723229,SRR25723235,SRR25723281,SRR25723207,SRR25723231,SRR25723261,SRR25723232,SRR25723212,SRR25723271,SRR25723275,SRR25723213,SRR25723196,SRR25723206,SRR25723280,SRR25723278,SRR25723214,SRR25723184,SRR25723252
Actinomycetota,0.01049,0.01468,0.02811,0.00529,0.01019,0.00773,0.016,0.01531,0.02153,0.00445,0.00831,0.02448,0.00204,0.00538,0.00942,0.00457,0.0067,0.00481,0.00793,0.0486,0.014,0.00993,0.0113,0.00603,0.03442,0.00823,0.00727,0.0,0.0102,0.0066,0.00354,0.00526,0.01009,0.01678,0.01565,0.01154,0.00822,0.00358,0.00593,0.00609,0.00712,0.00812,0.00475,0.00934,0.0096,0.00695,0.00455,0.00984,0.01232,0.00763,0.00911,0.02659,0.00487,0.00818,0.01692,0.00407,0.00839,0.01424,0.01299,0.00927,0.01166,0.02037,0.00806,0.00457,0.00749,0.02124,0.01087,0.00433,0.00574,0.02684,0.00993,0.00236,0.01159,0.01301,0.01246,0.0106,0.00675,0.01387,0.00547,0.00581,0.00682,0.00827,0.00847,0.01893,0.01184,0.00616,0.00838,0.00923,0.00725,0.00385,0.00641,0.01129,0.00575,0.00915,0.00502,0.01548,0.01463,0.01404,0.00513,0.00676,0.00432,0.01425,0.00583,0.00876,0.01191,0.01483,0.00607,0.00937,0.00591,0.01187,0.00865
Atribacterota,0.00248,0.0,0.0,0.00068,0.00197,0.0015,0.0,0.0,0.00117,0.00132,0.0,0.00144,0.0,0.00066,0.00144,0.00067,0.00077,0.0,0.0,0.0,0.0,0.0,0.0,0.00059,0.0,0.0,0.0,0.0,0.0,0.00142,0.00104,0.0,0.0,0.0,0.0,0.00258,0.0,0.00136,0.0,0.00112,0.00105,0.00128,0.0,0.00065,0.0,0.0,0.00102,0.00141,0.00061,0.00069,0.00253,0.00099,0.0,0.0,0.0,0.00144,0.0,0.0,0.0,0.00201,0.0,0.00118,0.0,0.00057,0.00034,0.0,0.0,0.00083,0.00097,0.00193,0.0,0.00154,0.0,0.00146,0.0,0.0,0.0,0.0007,0.00074,0.00109,0.00046,0.00111,0.00032,0.0,0.0,0.00102,0.00184,0.00124,0.00085,0.0,0.0,0.0,0.0,0.00101,0.00093,0.0,0.00035,0.00084,0.0,0.00165,0.00122,0.0,0.0,0.00079,0.0,0.0,0.0,0.0,0.00125,0.00203,0.0
Bacillota,0.69164,0.32948,0.38641,0.72264,0.92168,0.93065,0.81557,0.75201,0.77063,0.82682,0.26864,0.91241,0.79405,0.68584,0.91406,0.65092,0.70393,0.19263,0.79205,0.82404,0.71358,0.76236,0.21747,0.68926,0.262,0.88117,0.76102,0.65447,0.22589,0.73339,0.75292,0.22622,0.3127,0.33339,0.3177,0.71452,0.19041,0.68213,0.1422,0.66393,0.93944,0.71954,0.21841,0.87064,0.71449,0.23565,0.74414,0.92794,0.75857,0.82006,0.92433,0.8449,0.16542,0.16003,0.69427,0.70858,0.28204,0.86649,0.71743,0.90943,0.76231,0.79242,0.25178,0.73359,0.77832,0.30363,0.21605,0.73355,0.68904,0.82236,0.83023,0.81794,0.28378,0.68116,0.30095,0.21993,0.21361,0.79197,0.77263,0.75433,0.74008,0.85766,0.74136,0.79888,0.77158,0.84212,0.89044,0.75319,0.63017,0.1957,0.26649,0.84713,0.20525,0.89968,0.7025,0.79842,0.91005,0.73564,0.26107,0.58225,0.67489,0.23222,0.20747,0.71911,0.76126,0.74571,0.16847,0.29326,0.66445,0.91076,0.71118
Bacteroidota,0.24652,0.62262,0.5706,0.23218,0.00772,0.01148,0.13362,0.20141,0.16486,0.05456,0.70249,0.01438,0.06782,0.10593,0.01482,0.31018,0.187,0.76874,0.1615,0.07628,0.22018,0.19893,0.7513,0.27116,0.68452,0.08312,0.1894,0.32114,0.71727,0.22505,0.17202,0.73526,0.64198,0.63298,0.64558,0.21632,0.7689,0.16524,0.83348,0.28366,0.01379,0.23061,0.75938,0.04036,0.18636,0.73719,0.08172,0.01495,0.1714,0.13431,0.01574,0.01859,0.81119,0.80562,0.24316,0.16934,0.69276,0.08652,0.1005,0.00945,0.16886,0.07189,0.72204,0.10774,0.14557,0.64776,0.75028,0.10797,0.24695,0.01198,0.12373,0.12126,0.6657,0.08521,0.65055,0.7463,0.75419,0.05753,0.06984,0.04804,0.17589,0.044,0.18372,0.13623,0.18048,0.07645,0.01244,0.13722,0.32457,0.78603,0.71089,0.10864,0.77182,0.00846,0.26561,0.07215,0.01559,0.21034,0.61924,0.3703,0.18196,0.71403,0.76592,0.24332,0.18495,0.20551,0.81172,0.65927,0.29526,0.01371,0.24981
Chloroflexota,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euryarchaeota,0.0,0.0,0.00187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.00188,0.0,0.0,0.0,0.00068,0.0,0.0,0.00067,0.00177,0.0,0.0,0.0,0.00114,0.0,0.00056,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00239,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.00059,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.0022,0.00026,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083,0.0,0.0,0.0,0.0,0.0,0.00121,0.0,0.0,0.0,0.00031,0.0,0.0,0.0,0.00103,0.00166,0.0,0.0,0.0
Fusobacteriota,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.00119,0.0,0.0,0.0,0.00078,0.0,0.0,0.00048,0.00057,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00134,0.0,0.0,0.0,0.00069,0.0,0.0,0.0,0.0,0.00041,0.0,0.0,0.0
Kiritimatiellota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mycoplasmatota,0.00077,0.0,0.00024,0.00049,0.00105,0.00053,0.0,0.0,0.00106,0.00049,0.0,0.00042,0.0,0.0,0.00065,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.00096,0.0,0.0,0.00043,0.00057,0.0,0.0,0.00145,0.00019,0.00062,0.0,0.0,0.00099,0.00055,0.00034,0.00044,0.0,0.0,0.0,0.00065,0.00019,0.00044,0.00101,0.0004,0.0,0.0,0.0,0.00063,0.00027,0.0,0.0,0.001,0.00019,0.00057,0.0,0.00045,0.00029,0.0,0.0,0.00035,0.0,0.00089,0.0,0.0006,0.0,0.00036,0.00058,0.0,0.0,0.0,0.00028,0.00032,0.0,0.00041,0.0,0.0,0.0,0.00029,0.00057,0.00026,0.00031,0.0,0.0,0.0,0.00038,0.00051,0.00076,0.0,0.0,0.00036,0.00072,0.00099,0.0,0.00065,0.00051,0.00041,0.0,0.0,0.0,0.00061,0.00064,0.00059,0.0
Phixviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0002,0.0
