name,SRR25723234,SRR25723214,SRR25723247,SRR25723239,SRR25723287,SRR25723205,SRR25723224,SRR25723274,SRR25723191,SRR25723256,SRR25723200,SRR25723208,SRR25723235,SRR25723286,SRR25723293,SRR25723276,SRR25723199,SRR25723220,SRR25723272,SRR25723201,SRR25723219,SRR25723217,SRR25723185,SRR25723261,SRR25723212,SRR25723196,SRR25723279,SRR25723271,SRR25723207,SRR25723215,SRR25723245,SRR25723290,SRR25723198,SRR25723252,SRR25723197,SRR25723184,SRR25723280,SRR25723270,SRR25723277,SRR25723288,SRR25723229,SRR25723221,SRR25723236,SRR25723190,SRR25723232,SRR25723258,SRR25723262,SRR25723275,SRR25723241,SRR25723237,SRR25723210,SRR25723228,SRR25723281,SRR25723257,SRR25723244,SRR25723264,SRR25723192,SRR25723278,SRR25723193,SRR25723269,SRR25723273,SRR25723250,SRR25723246,SRR25723203,SRR25723223,SRR25723202,SRR25723242,SRR25723289,SRR25723206,SRR25723233,SRR25723263,SRR25723243,SRR25723267,SRR25723230,SRR25723226,SRR25723253,SRR25723209,SRR25723188,SRR25723254,SRR25723195,SRR25723265,SRR25723291,SRR25723218,SRR25723266,SRR25723204,SRR25723255,SRR25723231,SRR25723227,SRR25723284,SRR25723183,SRR25723268,SRR25723251,SRR25723285,SRR25723238,SRR25723249,SRR25723240,SRR25723186,SRR25723222,SRR25723259,SRR25723211,SRR25723260,SRR25723283,SRR25723216,SRR25723187,SRR25723282,SRR25723194,SRR25723292,SRR25723189,SRR25723248,SRR25723225,SRR25723213
Acetilactobacillus jinshanensis,0.00073,0.0,0.00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.00087,0.0,0.0,0.0,0.00155,0.0,0.00067,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.0,0.0,0.0,0.0,0.00058,0.0,0.0,0.00276,0.0,0.00125,0.0,0.00108,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138,0.0,0.0,0.0,0.0,0.0,0.0,0.00087,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00267
Acetivibrio saccincola,0.0,0.0,0.0,0.0,0.00067,0.00406,0.00424,0.0,0.00193,0.0,0.0,0.00598,0.0,0.00116,0.0,0.0,0.0,0.0,0.0,0.00523,0.00095,0.00111,0.03339,0.0,0.0,0.0,0.00117,0.0,0.00302,0.00129,0.0,0.00052,0.05369,0.0,0.01382,0.00063,0.0,0.0,0.0,0.00158,0.04585,0.00191,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00094,0.00199,0.0,0.0,0.0,0.01192,0.0,0.00056,0.0,0.0,0.0,0.0,0.00186,0.00021,0.00149,0.0,0.0,0.00338,0.0,0.0,0.0,0.0,0.0,0.0444,0.0,0.00279,0.01104,0.0,0.05416,0.0,0.0,0.00136,0.0,0.00344,0.0,0.0,0.00051,0.0,0.00066,0.0,0.0,0.00336,0.0,0.0,0.0,0.00142,0.0019,0.0,0.0,0.0,0.00292,0.00054,0.00129,0.0009,0.00587,0.0,0.0,0.0,0.0,0.0
Acinetobacter haemolyticus,0.0,0.0,0.0,0.0,0.00906,0.0,0.00183,0.0,0.0,0.0,0.0,0.0,0.0,0.01309,0.0,0.0,0.00334,0.0,0.0,0.00098,0.00903,0.01147,0.0,0.0,0.0,0.0078,0.01048,0.0,0.0,0.01089,0.0,0.01213,0.00088,0.0,0.0,0.00042,0.0,0.0,0.0,0.01272,0.0,0.01116,0.0,0.00959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126,0.00548,0.0,0.0,0.0,0.00117,0.0,0.00488,0.0,0.0,0.0,0.0,0.00225,0.00109,0.0,0.0,0.01011,0.00183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00279,0.00043,0.0,0.00044,0.0,0.0,0.01452,0.0,0.0,0.0,0.0,0.00966,0.04454,0.00968,0.0,0.0,0.00588,0.0,0.00028,0.0,0.00963,0.01095,0.0,0.0,0.0,0.00342,0.01537,0.0,0.01543,0.0,0.0,0.0,0.0,0.0,0.0
Aedoeadaptatus ivorii,0.00169,0.0,0.00053,0.0,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069,0.0,0.00022,0.0,0.0,0.0003,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073,0.0,0.0,0.00046,0.0,0.0,0.0,0.0,0.0,0.00265,0.0,0.0,0.0,0.0,0.0,0.00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.00058,0.0,0.00056,0.0,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044,0.0008,0.0,0.00072,0.0,0.0,0.0,0.00139,0.0,0.00057,0.00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003
Aerococcus tenax,0.00039,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.00045,0.0,0.0,0.00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas veronii,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agathobacter rectalis,0.01103,0.00523,0.00857,0.0,0.00355,0.00976,0.0967,0.0,0.01302,0.00627,0.00052,0.01032,0.00466,0.00807,0.0,0.0,0.00132,0.0,0.0,0.00455,0.01124,0.00852,0.01172,0.0,0.01147,0.00183,0.00949,0.0,0.00255,0.00749,0.00451,0.02173,0.00429,0.01658,0.00734,0.08064,0.0,0.0006,0.0,0.01479,0.02067,0.02443,0.0126,0.00959,0.00371,0.0,0.0,0.0,0.0102,0.00028,0.00557,0.08638,0.00339,0.0049,0.01854,0.0,0.00177,0.0,0.00203,0.0,0.0,0.01208,0.01374,0.00135,0.00183,0.00246,0.00497,0.00497,0.00335,0.02588,0.0,0.01427,0.0,0.02133,0.02678,0.01304,0.00497,0.00791,0.01387,0.00256,0.0,0.00021,0.01736,0.0,0.00156,0.01418,0.04203,0.00572,0.03034,0.00622,0.0,0.00456,0.00275,0.01059,0.00502,0.01396,0.00636,0.01879,0.00043,0.00048,0.0,0.00166,0.01598,0.08982,0.00874,0.00978,0.0,0.0,0.00171,0.0,0.00162
Alistipes finegoldii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes onderdonkii,0.00069,0.00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.00034,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00085
Alistipes senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
