name,SRR9040656,SRR12536012,SRR12536006,SRR9040634,SRR9040640,SRR13613101,SRR12536014,SRR9040643,SRR9040655,SRR12535986,SRR12535984,SRR12535997,SRR9040638,SRR9040632,SRR12535991,SRR9040653,SRR13613097,SRR12536020,SRR9040648,SRR12536016,SRR12535999,SRR12536000,SRR12535994,SRR9040652,SRR9040645,SRR12536002,SRR9040639,SRR12535987,SRR12536011,SRR9040635,SRR9040644,SRR9040637,SRR13613098,SRR9040654,SRR12536022,SRR12536008,SRR9040651,SRR12535990,SRR9040633,SRR12535989,SRR12536013,SRR12536009,SRR13613104,SRR12535996,SRR12536019,SRR9040647,SRR12535988,SRR12536003,SRR12536018,SRR9040659,SRR12536004,SRR13613103,SRR12535993,SRR13613100,SRR9040642,SRR9040650,SRR12536007,SRR12536005,SRR13613099,SRR9040636,SRR12536021,SRR9040649,SRR9040657,SRR12535992,SRR13613102,SRR13613096,SRR9040641,SRR9040631,SRR9040630,SRR9040658,SRR12535985,SRR12535995,SRR9040646,SRR12536017,SRR12536015,SRR12535998,SRR12536001,SRR12536010
Acidobacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,0.0002,0.0,0.00016,0.0,0.0,0.00034,0.0002,0.0002,0.0,0.0,0.00031,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomycetota,0.03639,0.0167,0.0035,0.03684,0.03466,0.03408,0.00575,0.03839,0.01216,0.00299,0.00299,0.00267,0.0052,0.04096,0.01679,0.04172,0.10189,0.00881,0.04006,0.00292,0.01658,0.00768,0.00833,0.04296,0.03963,0.01005,0.00811,0.00811,0.00301,0.03373,0.02098,0.04599,0.01626,0.03837,0.0442,0.00506,0.03106,0.00533,0.05714,0.00808,0.00308,0.00284,0.00352,0.01533,0.01092,0.01748,0.00651,0.00575,0.00409,0.03815,0.00639,0.02382,0.00491,0.03773,0.06698,0.03633,0.00915,0.00185,0.00949,0.03194,0.00686,0.06937,0.0394,0.01564,0.02232,0.0,0.06244,0.03548,0.03644,0.04351,0.00403,0.00249,0.0373,0.00403,0.01131,0.00332,0.01197,0.00333
Bacillota,0.12495,0.04588,0.14486,0.15666,0.1132,0.20097,0.02537,0.13499,0.05835,0.02271,0.19956,0.03718,0.12079,0.12331,0.06977,0.12976,0.30566,0.03796,0.11358,0.08273,0.04586,0.03267,0.02183,0.16034,0.12327,0.06811,0.05204,0.02862,0.02302,0.10191,0.1268,0.14171,0.03008,0.11129,0.48385,0.01726,0.10949,0.03833,0.11925,0.07048,0.02025,0.15169,0.03136,0.04631,0.11489,0.04424,0.03271,0.05525,0.02059,0.12933,0.03577,0.09997,0.11195,0.02475,0.2214,0.12422,0.04618,0.05417,0.12643,0.12851,0.06335,0.11784,0.15368,0.10513,0.19959,0.34783,0.09878,0.11234,0.1389,0.14668,0.04792,0.16735,0.09588,0.11518,0.08986,0.02075,0.02873,0.04148
Bacteroidota,0.03694,0.00749,0.0068,0.05948,0.06097,0.02796,0.00632,0.0509,0.08316,0.00757,0.00569,0.00735,0.03397,0.0356,0.00816,0.05024,0.11698,0.01139,0.02965,0.00715,0.00737,0.00737,0.00632,0.04681,0.04601,0.00695,0.01655,0.01048,0.00532,0.07809,0.19516,0.04943,0.00542,0.03504,0.08917,0.00478,0.06067,0.00572,0.0448,0.00902,0.00681,0.00407,0.02608,0.00678,0.01186,0.04059,0.01589,0.00585,0.00605,0.04297,0.00756,0.09876,0.00652,0.00504,0.0604,0.05693,0.01212,0.00379,0.00528,0.05086,0.00789,0.03307,0.04125,0.00551,0.00405,0.47826,0.03079,0.03624,0.05044,0.04029,0.00661,0.0118,0.02854,0.00651,0.01092,0.00561,0.00646,0.00618
Campylobacterota,0.00027,0.00194,0.00203,0.0,0.0,0.00317,0.00215,0.00049,0.00052,0.00177,0.00181,0.00203,0.00027,0.00039,0.00288,0.00021,0.0,0.00347,0.0,0.00221,0.00196,0.00152,0.00147,0.00021,0.0,0.00202,0.00047,0.00256,0.00165,0.0021,0.01153,0.0,0.0009,0.0002,0.00284,0.00143,0.00036,0.00179,0.00032,0.00241,0.00147,0.00136,0.0,0.00198,0.00298,0.00061,0.00349,0.00184,0.0026,0.00049,0.00177,0.0004,0.00217,0.0,0.00661,0.00018,0.00282,0.00165,0.00259,0.00077,0.00232,0.00021,0.00024,0.00142,0.00041,0.0,0.0003,0.0,0.00024,0.00018,0.00218,0.00737,0.00021,0.00177,0.00301,0.00199,0.00179,0.00174
Candidatus Saccharibacteria,0.0,0.0,0.0,0.00053,0.00031,0.00127,0.0,0.0,0.00026,0.0,0.0,0.0,0.00026,0.00033,0.0,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,0.00426,0.00028,0.0,0.00017,0.01391,0.0,0.00045,0.0,0.00025,0.00075,0.0,0.00028,0.00293,0.00019,0.0,0.00026,0.0,0.0,0.0,0.00045,0.0,0.00053,0.0,0.0,0.00079,0.0,0.0,0.0,0.00068,0.00042,0.0,0.00028,0.0002,0.0,0.00044,0.0,0.0003,0.0,0.00027,0.00022,0.0,0.0,0.0004,0.0,0.00031,0.0,0.0,0.0
Chlamydiota,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0003,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chloroflexota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.00017,0.0,0.0,0.00021,0.0,0.0,0.00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chordata,0.68546,0.84414,0.78794,0.6977,0.73759,0.49588,0.79439,0.70784,0.77067,0.84981,0.76667,0.87513,0.67796,0.71136,0.72952,0.70968,0.12075,0.70511,0.71255,0.78493,0.84296,0.86388,0.82611,0.6957,0.71398,0.8246,0.85192,0.79399,0.85511,0.71414,0.47774,0.71119,0.88479,0.73868,0.14472,0.86978,0.7273,0.84817,0.73993,0.80536,0.85056,0.82868,0.80744,0.85142,0.72643,0.79349,0.78743,0.85121,0.83822,0.71514,0.77455,0.62231,0.83839,0.90339,0.43067,0.71972,0.72401,0.8641,0.72348,0.59473,0.72142,0.69641,0.63698,0.7519,0.61676,0.0,0.73165,0.73307,0.70997,0.70026,0.84299,0.76077,0.72552,0.83788,0.7426,0.8315,0.81455,0.85012
Cyanobacteriota,0.0,0.0,0.0,0.0,0.0,0.00099,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.00018,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.00017,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.00015,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
